Ticker,Name,Type,Sector,Asset Class,Market Value,Weight (%),Notional Value,Quantity,Price,Location,Exchange,Currency,FX Rate,Accrual Date
VGZ4,EURO STOXX 50 DEC 24,INDEX,Cash and/or Derivatives,Futures,0.00,0.00,"4,188,788.56",81.00,"5,171.34",European Union,Eurex Deutschland,USD,0.93,--
MESZ4,MSCI EMER MKT INDEX (ICE) DEC 24,INDEX,Cash and/or Derivatives,Futures,0.00,0.00,"4,630,540.00",82.00,"1,129.40",--,Ice Futures U.S.,USD,1.00,--
ESZ4,S&P500 EMINI DEC 24,INDEX,Cash and/or Derivatives,Futures,0.00,0.00,"6,627,775.00",22.00,"6,025.25",--,Index And Options Market,USD,1.00,--
TWD,TWD/USD,SPOT,Cash and/or Derivatives,FX,-387.80,0.00,-387.80,"-2,209,821.00",1.00,United States,--,USD,32.11,--
TWD,TWD/USD,SPOT,Cash and/or Derivatives,FX,-581.71,0.00,-581.71,"-3,314,731.00",1.00,United States,--,USD,32.11,--
TWD,TWD/USD,SPOT,Cash and/or Derivatives,FX,-488.43,0.00,-488.43,"-2,783,193.00",1.00,United States,--,USD,32.11,--
KRW,KRW/USD,SPOT,Cash and/or Derivatives,FX,-985.02,0.00,-985.02,"-188,505,926.00",1.00,United States,--,USD,"1,386.60",--
KRW,KRW/USD,SPOT,Cash and/or Derivatives,FX,"-1,477.53",0.00,"-1,477.53","-282,758,888.00",1.00,United States,--,USD,"1,386.60",--
KRW,KRW/USD,SPOT,Cash and/or Derivatives,FX,"-1,342.96",0.00,"-1,342.96","-257,006,663.00",1.00,United States,--,USD,"1,386.60",--
MARGIN_USD,FUTURES USD MARGIN BALANCE,CASH,Cash and/or Derivatives,Cash Collateral and Margins,"-98,940.00",-0.01,"-98,940.00","-98,940.00",100.00,United States,--,USD,1.00,"Jan 01, 2000"
USD,USD CASH,CASH,Cash and/or Derivatives,Cash,"-4,827,522.12",-0.27,"-4,827,522.12","-4,827,522.00",100.00,United States,--,USD,1.00,--
